,상품군별(1),운영형태별(1),날짜,거래액
261,가구,온·오프라인 병행몰,2017.06,65956
262,애완용품,온라인 전용몰,2017.06,52171
263,애완용품,온·오프라인 병행몰,2017.06,3921
264,여행 및 교통서비스,온라인 전용몰,2017.06,605075
265,여행 및 교통서비스,온·오프라인 병행몰,2017.06,605833
266,문화 및 레저서비스,온라인 전용몰,2017.06,97899
267,문화 및 레저서비스,온·오프라인 병행몰,2017.06,46413
268,이쿠폰서비스,온라인 전용몰,2017.06,89494
269,이쿠폰서비스,온·오프라인 병행몰,2017.06,5525
270,음식서비스,온라인 전용몰,2017.06,171939
271,음식서비스,온·오프라인 병행몰,2017.06,23692
272,기타서비스,온라인 전용몰,2017.06,29875
273,기타서비스,온·오프라인 병행몰,2017.06,11229
274,기타,온라인 전용몰,2017.06,162394
275,기타,온·오프라인 병행몰,2017.06,17937
276,컴퓨터 및 주변기기,온라인 전용몰,2017.07,312458
277,컴퓨터 및 주변기기,온·오프라인 병행몰,2017.07,68516
278,가전·전자·통신기기,온라인 전용몰,2017.07,729535
279,가전·전자·통신기기,온·오프라인 병행몰,2017.07,197332
280,서적,온라인 전용몰,2017.07,44330
281,서적,온·오프라인 병행몰,2017.07,98754
282,사무·문구,온라인 전용몰,2017.07,39698
283,사무·문구,온·오프라인 병행몰,2017.07,14128
284,의복,온라인 전용몰,2017.07,661511
285,의복,온·오프라인 병행몰,2017.07,225860
286,신발,온라인 전용몰,2017.07,101604
287,신발,온·오프라인 병행몰,2017.07,39142
288,가방,온라인 전용몰,2017.07,106690
289,가방,온·오프라인 병행몰,2017.07,45029
290,패션용품 및 액세서리,온라인 전용몰,2017.07,98604
291,패션용품 및 액세서리,온·오프라인 병행몰,2017.07,71431
292,스포츠·레저용품,온라인 전용몰,2017.07,243155
293,스포츠·레저용품,온·오프라인 병행몰,2017.07,49528
294,화장품,온라인 전용몰,2017.07,245888
295,화장품,온·오프라인 병행몰,2017.07,373568
296,아동·유아용품,온라인 전용몰,2017.07,228770
297,아동·유아용품,온·오프라인 병행몰,2017.07,35809
298,음·식료품,온라인 전용몰,2017.07,403010
299,음·식료품,온·오프라인 병행몰,2017.07,235166
300,농축수산물,온라인 전용몰,2017.07,100627
301,농축수산물,온·오프라인 병행몰,2017.07,82056
302,생활용품,온라인 전용몰,2017.07,470412
303,생활용품,온·오프라인 병행몰,2017.07,143177
304,자동차 및 자동차용품,온라인 전용몰,2017.07,80043
305,자동차 및 자동차용품,온·오프라인 병행몰,2017.07,14201
306,가구,온라인 전용몰,2017.07,143727
307,가구,온·오프라인 병행몰,2017.07,67930
308,애완용품,온라인 전용몰,2017.07,54842
309,애완용품,온·오프라인 병행몰,2017.07,3658
310,여행 및 교통서비스,온라인 전용몰,2017.07,703785
311,여행 및 교통서비스,온·오프라인 병행몰,2017.07,675617
312,문화 및 레저서비스,온라인 전용몰,2017.07,83354
313,문화 및 레저서비스,온·오프라인 병행몰,2017.07,68293
314,이쿠폰서비스,온라인 전용몰,2017.07,90035
315,이쿠폰서비스,온·오프라인 병행몰,2017.07,1592
316,음식서비스,온라인 전용몰,2017.07,198934
317,음식서비스,온·오프라인 병행몰,2017.07,25691
318,기타서비스,온라인 전용몰,2017.07,35997
319,기타서비스,온·오프라인 병행몰,2017.07,16021
320,기타,온라인 전용몰,2017.07,149504
321,기타,온·오프라인 병행몰,2017.07,19541
322,컴퓨터 및 주변기기,온라인 전용몰,2017.08,341688
323,컴퓨터 및 주변기기,온·오프라인 병행몰,2017.08,74705
